"ID","SoilKey","Longitude","Latitude"
1,"1808080751083325",-107.51746,38.41178
2,"1610111535569537",-108.415795,38.779822
3,"1609121010263911",-108.455331,38.762771
4,"COS08000_2019_SS-559",-108.26262489,38.89761833
5,"1707200713499970",-108.32861,38.86768
6,"CO_CO-NWD-2020_PJ-1201_V1",-108.51064395,38.71319245
7,"1808011555132803",-108.49434,38.74718
8,"1809101101416682",-108.29835,38.90187
9,"CO_CO-NWD-2020_CW-1026_V1",-108.28034531,38.9106927
10,"COS08000_2019_PJ-450",-108.43310552,38.84126185
11,"COS08000_2020_PJ-456",-108.5205055,38.76541421
12,"1607180855051209",-108.24894564,38.94516841
13,"COS08000_2019_MSDS-222",-108.27722837,38.9359598
14,"COS08000_2020_OTH-360",-108.40212306,38.87322749
15,"1609081659231655",-108.23976528,38.95276389
16,"1707050944309141",-108.431,38.8633
17,"1710030933284285",-108.47834,38.82809
18,"1707071038349751",-108.55118,38.75531
19,"1607051437215755",-108.363581,38.913135
20,"CO_Gunnison-Field-Office-2020_Forest_Other-008_V1",-107.40842891,38.28546067
21,"1806251526368307",-108.38926,38.90583
22,"COS01000_2019_GR-303",-108.48263599,38.15011939
23,"170808154512174",-108.55768,38.76949
24,"1705311641052963",-107.3364,38.45488
25,"1707051304371823",-108.56027,38.77916
26,"1708091347441319",-108.55425,38.79391
27,"1709191325295343",-108.54941,38.80187
28,"1806211130361996",-107.35208,38.32822
29,"COS08000_2020_GOS-152",-108.58796121,38.76728136
30,"1808161032052108",-108.43279,38.90932
31,"1609120941511516",-108.575529,38.794975
32,"1707051459067908",-108.2781,38.99093
33,"1706281501549685",-108.5699,38.80695
34,"COF07000_2019_Aspen-2218",-107.36892275,38.2635219
35,"1606211639276596",-107.3005386,38.46197408
36,"COS08000_2020_MtnSage-318",-108.56532965,38.82889731
37,"COS08000_2020_LowSage-188",-108.47131673,38.9172274
38,"CO_CO-NWD-2020_PJ-1193_V1",-108.52511563,38.90069353
39,"1608241610195531",-107.2549857,38.43854571
40,"COS08000_2019_WyoSage-745",-108.53346005,38.9126557
41,"1708031455513396",-108.6347,38.81724
42,"COS08000_2020_SS-571",-108.4012199,39.00333264
43,"COS01000_2020_MC-365",-108.45358364,38.01483268
44,"COS08000_OverSample2018_OTH-1167",-108.37848659,39.01593609
45,"1508121241239649",-107.23418,38.45435
46,"1908220616122291",-108.649289,38.818467
47,"COS08000_2020_OTH-362",-108.40050993,39.01021487
48,"1908210550163058",-108.625152,38.851043
49,"1506111106591253",-107.2328,38.40935
50,"COS01000_2019_SS-073",-108.55445216,38.07376545
51,"COS08000_2020_WyoSage-781",-108.53103928,38.9388739
52,"1706011526353744",-107.23178,38.40165
53,"1807231637008069",-107.57706,37.98149
54,"1908220854486437",-108.67912,38.797626
55,"1908230925434077",-108.661419,38.821305
56,"1706280910071446",-107.2279,38.38948
57,"1608241309399354",-107.2164752,38.46051498
58,"1805311045119283",-107.22105,38.40324
59,"170802132102479",-108.68045,38.80801
60,"1908191119568036",-108.68045,38.80801
61,"1709301119329708",-108.61163,38.88669
62,"1706280849426766",-107.21252,38.43132
63,"1708151454036404",-107.529,37.99717
64,"1707121416107363",-108.79359,38.50673
65,"1807181405078349",-107.54501,37.98176
66,"1707251251228971",-108.5858,38.92131
67,"1608291324344049",-107.2070913,38.40881733
68,"1507291643586375",-107.2197,38.35552
69,NA,-107.21965604,38.35550573
70,"COS01000_2020_SS-085",-108.61618742,38.09283682
71,"1809121544362966",-108.3315,39.06972
72,"1809130859395085",-108.53638,38.96682
73,"1608311001171675",-107.472456,38.01749
74,"1706141444019832",-108.41258,39.03848
75,"1808161006097618",-108.80503,38.53992
76,"1807290557397014",-107.59787,37.94062
77,"1806071143467902",-108.69344,38.16257
78,"1608291409349381",-107.549656,37.96285896
79,"1607071255089101",-108.80686036,38.59080689
80,"1710031040234518",-108.80972,38.5808
81,"1805291555553039",-107.19927,38.36243
82,"180529151612720",-107.196,38.37311
83,NA,-107.19598998,38.37307422
84,"COS08000_2019_MSDS-217",-108.36932376,39.06791671
85,"1507221911328983",-108.64688934,38.10339402
86,"1807251534379194",-108.64893,38.10495
87,"150720190340843",-108.64538934,38.10079402
88,"1608251005233728",-107.2215177,38.29060918
89,"1506151534136042",-107.1969,38.35592
90,"1808060821182629",-107.2213,38.28636
91,"COS01000_2019_SS-081",-108.49904357,37.9842293
92,"1708151414088743",-107.22267,38.27753
93,"1806141041418177",-107.18069,38.4003
94,"1708151600298579",-107.64259,37.91027
95,"COS08000_2019_WyoSage-758",-108.82695748,38.52006568
96,"1807311615073009",-107.25546,38.20567
97,"1809261403374304",-108.73799,38.19175
98,"1806070913217022",-107.19255,38.32415
99,"1506031219454327",-107.16518,38.44665
100,"1607051256504937",-108.83034,38.573166
101,"CO_TRFO-2020_PJ-023_V1",-108.56374797,38.009804
102,NA,-107.18382069,38.33710616
103,"1706081249513315",-107.17937,38.35007
104,"1507230805043911",-108.75388931,38.20669401
105,"180626125137941",-107.1572,38.51482
106,"CO_Gunnison-Field-Office-2020_Conifer-003_V1",-107.2004368,38.28473963
107,"1709071545529989",-107.17358,38.36013
108,"1608041130257767",-107.1551621,38.45728573
109,"1609232215117689",-108.84336227,38.46580877
110,"1607081125243035",-108.84483016,38.4956419
111,"1707191512445185",-107.17863,38.33526
112,"CO_TRFO-2020_SS-095_V1",-108.76017411,38.20601215
113,"1809251558412261",-108.59197,38.02108
114,"CO_Gunnison-Field-Office-2020_Alpine-212_V1",-107.54480784,37.9317837
115,NA,-107.67873827,37.87752627
116,"1808131059499327",-108.73377,38.15926
117,NA,-107.53451711,37.9360583
118,"1809071233146157",-108.65314,38.92445
119,"160623161938681",-107.1730709,38.32156639
120,"1606211402282217",-107.1701903,38.3275218
121,"15070819000939",-108.69464933,38.10368402
122,"1808012329222497",-107.5883,37.90449
123,"1607271357581302",-107.5211373,37.93600342
124,"1806191616155593",-107.13902,38.51542
125,"1506301345246409",-107.15163,38.37482
126,"COS01000_2021_AS-338",-108.47417768,37.93261105
127,"150721183014590",-108.76888931,38.18769402
128,"1606301617542940",-107.1618166,38.32450771
129,"1806071252535782",-108.72906,38.13274
130,"1810101527447474",-108.48901,37.93649
131,"COS01000_2020_SD-162",-108.69478641,38.09166346
132,"COS01000_2019_GR-304",-108.72464481,38.12429766
133,"1808130740122482",-107.131189,38.519162
134,"1608251209534275",-107.1293397,38.49989015
135,"1708021509463651",-108.67387,38.92622
136,"1708191121507172",-107.60912,37.88438
137,"1708191129395422",-107.52878,37.91946
138,"1507201749589305",-108.72720932,38.11683402
139,"CO_TRFO-2020_AS-343_V1",-108.45712851,37.91151309
140,"CO_CO-NWD-2020_PJ-1196_V1",-108.87752337,38.49413096
141,"CO_Gunnison-Field-Office-2020_Forest_Other-060_V1",-107.19243461,38.22122492
142,"1707051442144025",-107.16784,38.27044
143,"COS01000_2019_SS-079",-108.75237755,38.14031936
144,"150813101843803",-107.11939,38.44749
145,"CO_TRFO-2020_PJ-027_V1",-108.69890079,38.0730645
146,"COS01000_2019_PJ-013",-108.79664296,38.1975628
147,"CO_TRFO-2020_RI-250_V1",-108.52111451,37.9360175
148,"1506221134377896",-107.11858,38.42043
149,"COS01000_2019_PJ-009",-108.78251683,38.17238853
150,"CO_TRFO-2020_SS-087_V1",-108.71046714,38.08109454
151,"160912075632595",-108.165471,39.178283
152,"1809180743418293",-107.24719,38.12442
153,NA,-107.24719589,38.12432564
154,"1806071315427612",-108.74682,38.1171
155,"COS01000_2020_PJ-019",-108.38479033,37.86575563
156,"1809051328283803",-108.39349,37.86849
157,"CO_Gunnison-Field-Office-2020_Alpine-217_V1",-107.61743891,37.8633144
158,"COS01000_2020_SS-083",-108.74184646,38.10931131
159,"1707191526399999",-107.18108,38.21459
160,NA,-107.18576892,38.20633398
161,"COF07000_OverSample2019_Conifer-2015",-107.1857529,38.20632935
162,"CO_TRFO-2020_GR-306_V1",-108.78209207,38.15799187
163,"COF07000_OverSample2019_Cotton-2037",-107.13745914,38.30092266
164,"COS01000_2020_PP-277",-108.44474692,37.88570837
165,"1808271222069",-108.37145,39.13622
166,"1506011053025146",-107.10655,38.40258
167,"COS01000_2019_PJ-011",-108.5586207,37.94068123
168,"1808221610039296",-108.57949,37.953
169,"1709301425576915",-108.2798,39.16778
170,"COF07000_2019_Aspen-2219",-107.16573623,38.2201111
171,"COS01000_2020_AS-336",-108.5130875,37.90663163
172,"1506191325304342",-107.09515,38.4029
173,"CO_CO-NWD-2020_WyoSage-806_V1",-108.1311312,39.20121568
174,"1807231005217598",-108.76453,38.10678
175,"CO_Gunnison-Field-Office-2020_Alpine-323_V1",-107.45255596,37.92244476
176,"1708171312199265",-108.75232,38.90478
177,"1506091259538227",-107.0848,38.43907
178,"170613121551529",-108.74059,38.92325
179,"1708191100043234",-107.09456,38.35323
180,"1709121318151458",-107.19016,38.14825
181,"1706291550001751",-107.08038,38.42244
182,NA,-107.08036545,38.42246423
183,"COS01000_2019_SD-157",-108.57061912,37.92740438
184,"CO_Gunnison-Field-Office-2020_Forest_Other-013_V1",-107.17264786,38.17186313
185,"1506251146113681",-107.07415,38.46635
186,"1608151519011482",-107.0854029,38.37895094
187,"1706221417411777",-107.14478,38.21463
188,"1809041323515449",-107.31972,38.00149
189,"1809051351332488",-108.58511,37.93189
190,"150604103728864",-107.08298,38.37606
191,"1706281648199454",-107.06921,38.46254
192,"1507211744543460",-108.75092933,38.05976403
193,"1809051258107433",-108.53017,37.89109
194,"COS01000_2019_SS-074",-108.84178508,38.17520661
195,"1608031322074803",-107.0735686,38.37306717
196,"CO_CO-NWD-2020_PJ-477_V1",-107.91022888,39.22567322
197,"COS08000_2019_GOS-147",-107.90384408,39.22600721
198,"CO_Gunnison-Field-Office-2020_Alpine-233_V1",-107.62101461,37.82081109
199,"COS01000_2019_PJ-015",-108.66594071,37.97686229
200,"1507301649219586",-107.06136,38.42149
201,"1609231902581211",-108.457971,39.13929
202,"1608031407029165",-107.0913562,38.29554837
203,NA,-107.09134643,38.29553265
204,"CO_TRFO-2020_SS-099_V1",-108.7436452,38.042979
205,"1806201630212981",-107.05592,38.52768
206,"1507290832218832",-107.06085,38.40348
207,"1807021412056078",-107.07227,38.34302
208,"1806071349591753",-108.7732,38.0688
209,"1706221427425207",-107.06894,38.35394
210,"1608010950077670",-108.9504,38.564529
211,"1707071537284066",-107.05269,38.39207
212,"180702123936213",-107.11784,38.20561
213,"CO_TRFO-2020_SD-165_V1",-108.52491891,37.86942619
214,"1908230821524343",-108.77627,38.933119
215,"1706221344249244",-107.0451,38.55999
216,"CO_Gunnison-Field-Office-2020_Alpine-231_V1",-107.37912748,37.92457549
217,"1809221331289354",-107.06943,38.31197
218,"CO_TRFO-2020_AS-345_V1",-108.35887723,37.79813855
219,"1908230542082491",-108.792982,38.91888
220,"1809251541081581",-108.55148,37.88057
221,"1808130952021792",-108.73505,38.01151
222,"1709191528063038",-107.04952,38.37521
223,"CO_TRFO-2020_SS-090_V1",-108.90042726,38.23368673
224,"1609280947513760",-108.2785936,39.21647899
225,"1608021547349637",-107.063611,38.31019444
226,"1608311302501365",-107.2717146,37.99825585
227,"1708181624132168",-107.03295,38.53024
228,"COS08000_2020_PJ-468",-108.93408127,38.68983259
229,"1707131334419781",-107.44013,37.87626
230,"1806281406331776",-107.10131,38.2109
231,"1908241146471385",-108.782283,38.943096
232,"1806271443136382",-107.03011,38.53522
233,"1608290831399688",-107.027728,38.47198451
234,"1506231325185899",-107.03745,38.38585
235,"15061511584799",-107.0278,38.44897
236,"1708171048328802",-108.80553,38.93013
237,"1908200848577796",-108.80553,38.93013
238,"190814082032725",-108.795422,38.942672
239,"1707241501599647",-108.20052,39.24567
240,"1808131028463559",-107.02472,38.40084
241,"COS01000_2019_SD-158",-108.78989099,38.03559585
242,"1908261255079070",-108.79358,38.95427
243,NA,-107.01556495,38.422286
244,"180822141157429",-107.04706,38.28599
245,"1608250825047528",-107.0109883,38.54591786
246,"1706271524102426",-108.31174,39.2296
247,"1809051548013893",-108.61176,37.88594
248,"CO_CO-NWD-2020_WyoSage-820_V1",-108.99019388,38.4872017
249,"1808281015332631",-107.0405,38.29741
250,"170717143742334",-108.47952,39.17382
